# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc 
1271.63 751.196 204.2849081 -29.8799152 9586.0 2.237 27.348 25.111 0.502 1.072 0.0 26.337 0.2107 24.015 0.0726 26.709 0.1538 24.347 0.0523 27.517 0.454533333333 24.719 0.126333333333 28.005 0.1395 25.638 0.048 27.59 0.298 26.197 0.163733333333 27.779 0.2752 25.622 0.1034 28.074 0.0997 25.823 0.0377 25.431 0.0958666666667 21.938 0.0192 29.845 0.774933333333 -99.0 -99.0 28.522 0.2176 26.898 0.1403
3612.34 781.642 204.2549063 -29.8795771 10373.0 2.221 24.964 22.743 4.511 0.96313 0.0 24.094 0.0749 21.836 0.0265 24.275 0.05 22.125 0.0186 24.651 0.1208 22.484 0.0446 25.8 0.0501 23.547 0.0178 25.287 0.102666666667 22.918 0.0345333333333 25.852 0.1128 23.623 0.0404666666667 25.86 0.0352 23.576 0.0124 24.665 0.0674 21.267 0.0140666666667 25.762 0.110866666667 23.452 0.0384666666667 25.934 0.062 23.642 0.0221
3641.75 795.944 204.2545294 -29.8794182 10767.0 2.172 25.556 23.384 2.616 0.9808 0.0 25.327 0.1322 22.99 0.0451 25.133 0.0742 22.998 0.0278 25.433 0.1732 23.196 0.0620666666667 26.336 0.0642 24.266 0.0248 26.201 0.1564 23.909 0.0546 26.312 0.139466666667 24.245 0.0540666666667 26.373 0.0446 24.205 0.0166 25.48 0.0980666666667 22.303 0.0227333333333 26.212 0.136466666667 24.063 0.0511333333333 26.026 0.065 23.536 0.0212
2651.87 808.885 204.267217 -29.8792752 11098.0 2.047 23.048 21.001 26.346 0.86283 0.0 21.899 0.0273 19.746 0.0101 22.431 0.0214 20.289 0.008 23.351 0.0663333333333 21.283 0.0256 23.93 0.0212 21.858 0.0082 23.711 0.0496666666667 21.596 0.0187333333333 23.962 0.0472 21.89 0.0182 23.948 0.0146 21.928 0.0058 23.821 0.0456666666667 21.401 0.015 24.521 0.0625333333333 22.579 0.0256 24.193 0.0276 22.162 0.0109
826.603 840.002 204.290612 -29.8789277 11910.0 2.429 27.57 25.141 0.409 0.70445 0.0 29.783 1.0597 25.393 0.1386 29.62 0.6005 25.802 0.1034 26.854 0.3346 24.265 0.102533333333 29.469 0.2783 26.22 0.0634 29.463 0.719266666667 -99.0 -99.0 28.991 0.485733333333 26.624 0.168466666667 28.24 0.1081 25.826 0.0381 25.854 0.116533333333 22.688 0.0271333333333 26.533 0.158466666667 25.052 0.0826 26.431 0.078 24.45 0.0325
840.386 973.22 204.290435 -29.8774475 15229.0 2.194 27.082 24.888 0.641 0.64629 0.0 27.612 0.3801 25.857 0.1729 26.73 0.155 24.87 0.0663 27.125 0.378733333333 24.848 0.134266666667 27.775 0.1248 25.808 0.0513 25.154 0.0964666666667 22.707 0.0313333333333 28.287 0.348666666667 26.413 0.152066666667 27.774 0.0858 25.716 0.0346 26.38 0.148466666667 23.004 0.0313333333333 27.642 0.264666666667 25.61 0.106266666667 28.141 0.1771 26.247 0.0872
1166.67 1153.28 204.2862527 -29.8754475 19587.0 2.614 26.723 24.109 0.893 1.1111 0.0 25.567 0.1479 23.274 0.0517 26.221 0.123 24.01 0.0451 26.624 0.300866666667 -99.0 -99.0 27.743 0.1248 25.234 0.0408 28.397 0.437933333333 -99.0 -99.0 27.867 0.2876 25.225 0.0864666666667 27.788 0.0907 25.485 0.0359 25.371 0.0932666666667 21.93 0.0191333333333 27.439 0.2426 25.46 0.102266666667 27.544 0.1367 24.511 0.0355
898.7 1274.15 204.2896869 -29.874104 22380.0 1.849 27.937 26.088 0.292 0.79006 0.0 32.326 4.1613 26.219 0.2057 28.029 0.283 27.006 0.1877 27.311 0.413733333333 23.57 0.0738666666667 29.714 0.3121 -99.0 -99.0 -99.0 -99.0 29.264 0.903933333333 28.879 0.458533333333 28.603 0.480666666667 28.774 0.1403 30.499 1.1435 26.062 0.128266666667 22.699 0.0272666666667 31.911 2.80653333333 -99.0 -99.0 27.66 0.1422 -99.0 -99.0
996.645 1369.42 204.2884314 -29.8730456 24618.0 2.448 25.892 23.444 1.919 0.9532 0.0 26.439 0.2208 24.094 0.0752 25.781 0.1001 23.373 0.0331 25.612 0.1882 23.54 0.0728666666667 26.807 0.0799 24.258 0.0248 26.413 0.172533333333 23.796 0.0518 26.655 0.1634 24.165 0.0521333333333 26.302 0.0433 23.818 0.0139 25.078 0.0815333333333 21.927 0.0190666666667 26.271 0.1402 23.637 0.0418 26.128 0.0679 23.479 0.0204
3996.2 1480.72 204.2499878 -29.871809 27414.0 2.093 27.008 24.915 0.687 1.7951 0.0 -99.0 -99.0 24.431 0.0879 28.022 0.2818 25.72 0.0988 -99.0 -99.0 -99.0 -99.0 27.814 0.1274 25.827 0.0522 26.987 0.225533333333 24.554 0.0744 27.567 0.2496 26.443 0.155866666667 27.428 0.0743 25.5 0.0339 24.266 0.0560666666667 20.796 0.0113333333333 26.268 0.140866666667 23.769 0.0452666666667 26.961 0.1088 24.919 0.0551
3960.33 1493.67 204.2504475 -29.8716652 27776.0 2.715 25.187 22.472 3.674 2.3884 0.0 29.188 0.798 26.039 0.1899 26.458 0.1389 23.177 0.031 25.897 0.2156 23.074 0.0591333333333 26.308 0.0649 23.456 0.0179 25.397 0.109266666667 22.563 0.0300666666667 25.594 0.100466666667 22.797 0.0278666666667 25.511 0.0317 22.712 0.0093 23.394 0.0375333333333 19.988 0.0078 24.595 0.0654 21.947 0.0196 24.414 0.0318 21.788 0.0101
2078.66 1553.66 204.2745636 -29.8709998 29250.0 2.181 25.77 23.589 2.148 0.78666 0.0 25.527 0.1449 23.417 0.0549 25.401 0.0839 23.239 0.031 26.01 0.226133333333 23.889 0.0855333333333 26.606 0.0726 24.378 0.0261 26.385 0.170333333333 24.331 0.0664666666667 26.635 0.1618 24.436 0.059 26.499 0.0473 24.407 0.0182 25.467 0.0975333333333 22.393 0.0236666666667 26.527 0.157933333333 24.747 0.0707333333333 26.305 0.0736 24.296 0.03
1297.06 1654.99 204.2845806 -29.8698732 31380.0 2.559 26.086 23.527 1.605 1.191 0.0 25.891 0.1716 23.219 0.0503 25.697 0.0967 23.114 0.0297 26.171 0.244266666667 23.131 0.0604666666667 27.04 0.0901 24.371 0.027 26.491 0.179533333333 23.941 0.0561333333333 27.121 0.203666666667 24.287 0.0557333333333 26.794 0.0562 24.279 0.0191 24.743 0.0698666666667 21.267 0.0140666666667 27.241 0.222866666667 24.291 0.0585333333333 26.54 0.0864 24.122 0.0321
1210.34 1669.04 204.285692 -29.8697169 31659.0 2.764 25.904 23.14 1.898 1.1003 0.0 25.658 0.1542 23.465 0.0565 25.387 0.0837 23.014 0.0284 26.014 0.227533333333 23.096 0.0597333333333 26.786 0.0793 23.9 0.0212 26.595 0.190266666667 23.257 0.0412 26.836 0.178466666667 23.713 0.0425333333333 26.536 0.0493 23.582 0.013 24.341 0.0580666666667 20.765 0.0112 26.651 0.170466666667 23.602 0.0427333333333 26.08 0.0667 22.883 0.0155
1240.67 1687.69 204.2853033 -29.8695097 32016.0 2.924 27.675 24.751 0.371 0.77682 0.0 30.981 1.8819 -99.0 -99.0 27.865 0.2635 25.075 0.0737 -99.0 -99.0 26.222 0.271733333333 28.668 0.1932 25.89 0.0558 29.03 0.614866666667 25.364 0.114 30.808 1.26293333333 28.196 0.451333333333 28.232 0.1117 25.363 0.032 25.136 0.0837333333333 21.669 0.0169333333333 28.483 0.4106 25.522 0.111333333333 27.599 0.1509 24.838 0.0486
1051.26 1694.93 204.2877307 -29.869429 32152.0 2.306 25.361 23.055 3.129 0.9928 0.0 24.44 0.0879 22.422 0.0347 24.811 0.064 22.583 0.023 25.108 0.149133333333 22.537 0.0457333333333 26.194 0.0602 23.796 0.0201 25.92 0.137533333333 23.105 0.0377333333333 26.337 0.1412 23.978 0.0478666666667 26.109 0.0398 23.701 0.0135 24.644 0.0667333333333 21.303 0.0143333333333 26.204 0.1362 23.482 0.0392 26.012 0.0648 23.266 0.0187
2076.44 1850.98 204.2745919 -29.8676963 35101.0 2.15 24.884 22.734 4.859 0.82233 0.0 24.045 0.0732 21.939 0.0278 24.179 0.0478 22.123 0.0186 24.478 0.111533333333 22.506 0.0450666666667 25.785 0.0498 23.544 0.0178 25.387 0.107466666667 23.178 0.0389333333333 25.755 0.107866666667 23.657 0.0411333333333 25.696 0.0326 23.586 0.0124 24.854 0.0735333333333 22.01 0.0198666666667 25.6 0.1028 23.554 0.0402 25.892 0.0606 23.877 0.0244
1216.71 1853.59 204.28561 -29.8676664 35157.0 2.224 27.55 25.326 0.417 0.83335 0.0 29.769 1.044 28.418 0.6388 30.046 0.7399 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 29.2 0.2434 28.393 0.1993 28.191 0.393666666667 25.968 0.144733333333 28.088 0.3172 25.517 0.0979333333333 28.071 0.1001 26.132 0.0453 25.395 0.0943333333333 22.13 0.021 27.644 0.265866666667 25.714 0.114066666667 26.762 0.0915 24.459 0.033
1197.23 1897.29 204.2858596 -29.8671808 36001.0 2.19 27.411 25.221 0.474 0.89477 0.0 27.276 0.3253 25.266 0.1305 26.948 0.1717 24.993 0.0708 27.16 0.386333333333 25.156 0.1582 28.447 0.1717 26.531 0.0749 29.17 0.627133333333 26.357 0.176666666667 28.237 0.341266666667 31.569 5.74066666667 28.117 0.1031 26.335 0.0529 25.524 0.100133333333 21.92 0.0190666666667 28.394 0.390466666667 -99.0 -99.0 28.503 0.2215 -99.0 -99.0
3841.95 1914.13 204.2519655 -29.8669936 36350.0 2.597 23.287 20.69 21.154 23.529 0.0 22.684 0.0412 20.138 0.014 22.978 0.0324 20.531 0.0136 23.454 0.0724 21.072 0.0264 24.097 0.0389 21.535 0.0182 23.909 0.063 21.279 0.0225333333333 24.149 0.0586666666667 21.613 0.0222 24.056 0.0447 21.413 0.021 22.202 0.0216666666667 18.753 0.0044 23.813 0.0574 21.432 0.0265333333333 23.712 0.0615 20.86 0.0242
3879.3 1942.42 204.2514869 -29.8666792 36932.0 2.402 23.189 20.787 23.15 17.053 0.0 22.551 0.037 20.232 0.013 22.581 0.0235 20.392 0.0093 22.998 0.0568 20.666 0.0197333333333 23.979 0.0275 21.457 0.0113 23.63 0.0502 21.47 0.0212 23.934 0.0492 21.638 0.0194666666667 24.039 0.0329 21.514 0.0161 22.62 0.0262666666667 19.152 0.00533333333333 24.1 0.0615333333333 21.758 0.0269333333333 24.022 0.0627 21.846 0.0432
3773.68 1970.1 204.2528405 -29.8663718 37507.0 2.514 21.978 19.464 70.587 60.875 0.0 21.585 0.0355 18.616 0.0114 21.452 0.0207 18.838 0.009 21.595 0.0306666666667 19.13 0.0106 22.682 0.0224 20.154 0.0112 22.291 0.0280666666667 19.876 0.0106 22.575 0.0274 20.166 0.0106 22.704 0.0219 20.155 0.0112 21.434 0.0152 18.111 0.00326666666667 22.527 0.0272666666667 20.2 0.0111333333333 22.586 0.0274 20.193 0.0157
2684.75 1983.61 204.2667959 -29.8662227 37778.0 2.24 24.537 22.297 6.685 1.0715 0.0 24.876 0.1074 22.747 0.0403 24.258 0.0496 22.025 0.0177 24.477 0.111466666667 22.279 0.0405333333333 25.384 0.0414 23.082 0.0143 24.875 0.0848666666667 22.561 0.0292666666667 25.091 0.0794666666667 22.861 0.0284666666667 25.098 0.0248 22.885 0.009 24.363 0.0586 21.415 0.0150666666667 25.047 0.0796666666667 22.747 0.0277333333333 24.949 0.0392 22.713 0.0142
3838.22 2020.72 204.2520135 -29.8658093 38566.0 2.793 22.804 20.011 33.006 38.425 0.0 26.119 0.7458 22.132 0.1076 25.597 0.4505 21.888 0.0856 23.646 0.0895333333333 21.226 0.037 23.874 0.0473 21.305 0.0229 23.42 0.0514 21.013 0.0223333333333 23.524 0.0450666666667 21.016 0.0176666666667 23.329 0.0352 20.891 0.0199 21.687 0.0171333333333 18.39 0.00373333333333 22.866 0.0347333333333 20.635 0.0168 22.625 0.0367 20.206 0.0208
3963.94 2126.47 204.2504026 -29.8646341 40693.0 2.569 25.515 22.946 2.716 7.1735 0.0 26.13 0.192 23.744 0.0645 25.595 0.0933 22.873 0.0273 25.566 0.185133333333 22.988 0.0572 26.114 0.0622 23.211 0.0177 25.659 0.123533333333 22.695 0.0320666666667 25.751 0.109933333333 22.979 0.0316 25.76 0.0482 22.866 0.0166 23.435 0.0382666666667 20.055 0.00806666666667 25.438 0.101333333333 22.475 0.0276 25.081 0.0589 22.166 0.0198
1465.38 2397.38 204.2824223 -29.8616247 45535.0 2.459 27.665 25.206 0.375 0.76981 0.0 27.76 0.4069 25.556 0.1494 27.321 0.2035 25.051 0.0719 27.463 0.4432 26.809 0.356533333333 28.627 0.1852 26.391 0.0671 30.25 1.05606666667 27.08 0.2528 29.826 0.7246 -99.0 -99.0 28.731 0.1358 27.181 0.0769 26.332 0.1452 22.717 0.0274666666667 29.145 0.5472 -99.0 -99.0 28.002 0.1683 25.498 0.0585
1308.15 2483.21 204.2844371 -29.8606708 46864.0 2.578 27.642 25.064 0.383 0.70196 0.0 34.003 -99.0 26.066 0.1885 29.902 0.6758 27.326 0.2116 27.277 0.406733333333 27.996 0.726333333333 29.584 0.2886 27.191 0.0978 28.422 0.437733333333 -99.0 -99.0 28.361 0.360466666667 25.937 0.119866666667 28.366 0.1134 25.961 0.039 24.586 0.065 21.547 0.0160666666667 27.107 0.206933333333 24.393 0.0598666666667 26.457 0.079 23.803 0.0237
1469.42 2524.71 204.2823703 -29.8602099 47544.0 2.113 24.233 22.12 8.848 0.82726 0.0 23.333 0.0528 21.283 0.0205 23.606 0.0367 21.488 0.0138 23.959 0.0878 21.926 0.0344666666667 25.106 0.0364 22.928 0.0134 24.792 0.0816666666667 22.639 0.0303333333333 25.258 0.0858 22.954 0.0297333333333 25.061 0.0243 22.964 0.0093 24.548 0.0638666666667 21.678 0.017 25.149 0.0835333333333 23.022 0.0314666666667 25.166 0.0433 23.008 0.0162
2513.41 2537.99 204.2689918 -29.860063 47772.0 2.222 25.14 22.918 3.837 1.2188 0.0 24.864 0.1068 23.036 0.0461 24.679 0.0602 22.608 0.0233 24.867 0.133466666667 22.915 0.0544666666667 26.069 0.0568 23.844 0.0205 25.632 0.1204 23.472 0.0447333333333 25.95 0.118066666667 23.756 0.0432 25.847 0.0353 23.726 0.0137 24.702 0.0685333333333 21.618 0.0165333333333 25.681 0.106866666667 23.54 0.0402 25.598 0.0537 23.365 0.0203
3630.02 2605.29 204.2546827 -29.8593144 48793.0 2.3 26.678 24.378 0.931 1.3709 0.0 -99.0 -99.0 27.28 0.348 27.759 0.2491 25.306 0.0808 27.882 0.538533333333 25.056 0.148 27.577 0.1138 25.098 0.0365 26.79 0.2052 24.276 0.0646666666667 26.948 0.187133333333 24.653 0.0654 26.906 0.0572 24.578 0.0199 25.141 0.0839333333333 21.945 0.0192666666667 26.388 0.1482 24.096 0.0520666666667 26.209 0.0716 23.943 0.027
850.284 2625.53 204.2903043 -29.8590886 49096.0 2.466 27.412 24.946 0.473 1.2691 0.0 -99.0 -99.0 -99.0 -99.0 29.364 0.5711 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 29.435 0.31 29.072 0.6473 27.433 0.279933333333 27.233 0.337466666667 27.94 0.2984 -99.0 -99.0 28.381 0.1355 26.014 0.0601 25.057 0.0807333333333 21.411 0.0150666666667 27.066 0.203533333333 24.991 0.0802666666667 26.286 0.0742 23.678 0.0233
1107.88 2644.97 204.2870032 -29.8588731 49398.0 2.217 26.966 24.749 0.714 0.84311 0.0 -99.0 -99.0 -99.0 -99.0 26.885 0.1667 24.739 0.0626 -99.0 -99.0 25.097 0.148266666667 27.79 0.1259 25.455 0.0436 27.673 0.310266666667 24.774 0.0823333333333 27.517 0.2434 25.058 0.0789333333333 27.52 0.0768 25.107 0.0263 25.533 0.100533333333 21.96 0.0194 27.834 0.291733333333 25.781 0.119533333333 27.24 0.118 24.912 0.0452
720.873 2654.57 204.2919626 -29.8587657 49548.0 2.679 26.611 23.932 0.99 0.86688 0.0 26.221 0.1997 23.948 0.0703 26.084 0.1151 23.863 0.0415 26.063 0.2318 23.893 0.086 27.585 0.1144 25.045 0.0358 27.831 0.3334 25.128 0.0970666666667 27.45 0.2362 24.874 0.0726666666667 27.505 0.0759 24.824 0.0225 25.582 0.1028 22.255 0.0222 26.927 0.1902 24.225 0.0552666666667 26.677 0.088 23.394 0.0196
867.841 2655.2 204.2900792 -29.858759 49555.0 2.676 26.829 24.153 0.81 1.5649 0.0 25.757 0.1693 23.051 0.0521 28.11 0.5109 -99.0 -99.0 27.775 0.5364 -99.0 -99.0 28.448 0.2716 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 30.068 1.08493333333 -99.0 -99.0 29.432 0.5514 -99.0 -99.0 25.752 0.111133333333 22.257 0.0222666666667 29.382 0.716933333333 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
3719.02 2662.73 204.2535423 -29.8586761 49679.0 2.159 24.82 22.661 5.151 1.3882 0.0 27.344 0.3354 24.86 0.1073 25.255 0.0785 23.058 0.0286 25.039 0.1444 22.74 0.0502 25.696 0.0478 23.481 0.0173 24.915 0.0864666666667 22.656 0.0306 25.192 0.0832666666667 23.01 0.0305333333333 25.218 0.0262 23.041 0.0097 24.057 0.0509333333333 21.118 0.0131333333333 24.768 0.0701333333333 22.574 0.0256 24.789 0.0366 22.625 0.014
1679.33 2702.48 204.2796802 -29.8582349 50380.0 2.264 27.991 25.727 0.278 0.93362 0.0 30.377 1.4169 29.917 1.9296 30.151 0.763 30.519 1.498 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 32.679 4.2476 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 30.549 0.373 -99.0 -99.0 26.155 0.133866666667 22.527 0.0252 27.984 0.312666666667 25.646 0.11 26.512 0.0819 24.261 0.0306
3470.53 2745.27 204.2567267 -29.8577593 51255.0 2.168 27.544 25.376 0.419 1.2223 0.0 27.369 0.3392 24.999 0.1145 27.359 0.2074 25.069 0.0728 27.135 0.3814 24.44 0.111466666667 28.344 0.1621 26.23 0.062 28.493 0.4534 26.221 0.1636 27.849 0.283933333333 26.239 0.1386 28.193 0.1046 26.231 0.0449 25.471 0.0977333333333 22.03 0.02 29.519 0.6704 -99.0 -99.0 28.445 0.2234 -99.0 -99.0
975.103 2747.73 204.2887045 -29.8577311 51301.0 2.125 25.142 23.017 3.831 0.83165 0.0 25.432 0.1388 23.353 0.0534 24.83 0.0646 22.729 0.0246 25.132 0.1508 22.771 0.0509333333333 26.048 0.0562 23.931 0.0213 25.552 0.116 22.89 0.0341333333333 25.868 0.113666666667 23.828 0.0446 25.809 0.0345 23.629 0.0129 24.188 0.0540666666667 21.119 0.0131333333333 25.541 0.1002 23.027 0.0316666666667 25.625 0.0536 23.383 0.0194
3665.56 2775.91 204.2542275 -29.8574186 51937.0 2.191 26.845 24.654 0.798 1.5112 0.0 26.474 0.2244 24.545 0.0928 26.276 0.1256 24.205 0.0485 26.6 0.297066666667 24.339 0.105666666667 27.558 0.1129 25.332 0.0409 27.247 0.253866666667 24.963 0.0894666666667 27.33 0.223466666667 25.055 0.0790666666667 27.614 0.0803 25.486 0.0321 25.416 0.0952666666667 21.925 0.0190666666667 27.428 0.2412 26.157 0.147333333333 28.15 0.2012 -99.0 -99.0
4313.36 2799.45 204.2459263 -29.8571559 52537.0 3.21 24.907 21.697 4.756 1.2481 0.0 24.658 0.0972 21.234 0.0201 24.33 0.0513 21.082 0.0115 23.961 0.088 20.646 0.0191333333333 25.824 0.0507 22.588 0.0114 24.327 0.0659333333333 20.971 0.0140666666667 25.902 0.115466666667 22.472 0.0238 25.734 0.0333 22.485 0.0075 22.68 0.027 19.193 0.0054 24.693 0.0677333333333 21.476 0.0154 25.559 0.053 22.183 0.0113
4290.92 2815.08 204.2462139 -29.8569822 52904.0 2.175 25.474 23.299 2.82 0.94797 0.0 24.966 0.112 22.626 0.0382 24.966 0.0687 22.734 0.0246 24.87 0.1336 22.334 0.0416 26.307 0.0633 24.256 0.0247 25.651 0.121333333333 23.074 0.0370666666667 26.504 0.152333333333 23.96 0.0473333333333 26.362 0.0444 24.128 0.016 24.095 0.0518666666667 21.082 0.0129333333333 26.189 0.134933333333 23.445 0.0382666666667 26.244 0.0723 23.888 0.0257
3351.23 2868.49 204.2582556 -29.8563903 54158.0 2.194 25.446 23.252 2.894 1.4832 0.0 26.036 0.1833 24.114 0.0759 25.169 0.0755 23.0 0.0278 25.646 0.1912 23.422 0.0689333333333 26.213 0.0607 24.138 0.0234 25.706 0.124466666667 23.912 0.0547333333333 26.035 0.122733333333 23.89 0.0458 26.128 0.04 23.972 0.0151 24.895 0.0749333333333 21.828 0.0182666666667 26.03 0.125733333333 24.267 0.0568 25.947 0.0639 23.857 0.027
1430.43 2959.72 204.2828693 -29.8553764 56031.0 2.14 24.094 21.954 10.057 0.93929 0.0 23.313 0.0523 21.491 0.0226 23.603 0.0367 21.449 0.0136 23.864 0.0840666666667 21.613 0.0298666666667 24.91 0.0333 22.735 0.0122 24.46 0.0702 22.077 0.0234666666667 25.003 0.0762666666667 22.784 0.0274666666667 24.85 0.0221 22.674 0.0082 23.684 0.0428666666667 20.515 0.00993333333333 24.73 0.0690666666667 22.567 0.0258 24.78 0.0363 22.563 0.0133
1271.81 2981.76 204.2849019 -29.8551313 56485.0 2.019 23.878 21.859 12.271 0.83615 0.0 23.216 0.05 21.252 0.0202 23.363 0.0328 21.326 0.0129 23.827 0.0826 21.656 0.0304666666667 24.75 0.0309 22.678 0.0119 24.405 0.0683333333333 22.231 0.0251333333333 24.847 0.071 22.695 0.0263333333333 24.666 0.0203 22.631 0.008 24.015 0.05 21.311 0.0144 24.716 0.0684 22.57 0.0255333333333 24.71 0.035 22.477 0.0126
1423.99 2982.15 204.2829518 -29.8551272 56492.0 2.198 24.384 22.186 7.7 0.84494 0.0 29.952 1.1381 26.836 0.2755 25.735 0.098 23.449 0.0342 25.399 0.170533333333 23.281 0.0645333333333 25.718 0.0483 23.5 0.0174 24.914 0.0864666666667 22.451 0.0278666666667 25.071 0.0786666666667 22.845 0.0282666666667 24.823 0.0218 22.58 0.0078 23.347 0.0367333333333 20.348 0.0092 23.904 0.0470666666667 21.672 0.0168666666667 23.519 0.0202 21.41 0.0077
1328.12 3003.99 204.2841803 -29.8548844 56937.0 2.091 22.456 20.365 45.447 1.1241 0.0 25.899 0.1721 23.713 0.063 23.425 0.0338 21.33 0.0129 23.171 0.0610666666667 21.003 0.0225333333333 23.559 0.0178 21.468 0.0068 22.85 0.0334 20.629 0.012 23.199 0.0332 20.94 0.0117333333333 22.887 0.0089 20.755 0.0034 21.842 0.0183333333333 19.545 0.0064 22.191 0.0214 20.055 0.008 21.864 0.0094 19.764 0.0036
4191.94 3009.36 204.2474828 -29.8548238 57049.0 2.463 27.046 24.583 0.663 0.89572 0.0 26.368 0.2137 24.009 0.0723 26.462 0.1369 24.056 0.0453 26.784 0.323933333333 24.256 0.102066666667 27.867 0.13 25.4 0.0419 27.093 0.236066666667 24.508 0.0720666666667 27.86 0.285133333333 25.383 0.0917333333333 27.906 0.0913 25.565 0.0322 25.918 0.12 22.55 0.0254666666667 27.897 0.2984 25.622 0.107133333333 28.351 0.2192 -99.0 -99.0
1420.95 3048.48 204.2829907 -29.8543902 57910.0 2.393 27.469 25.076 0.449 0.82459 0.0 27.899 0.4335 26.557 0.2387 27.053 0.1799 24.75 0.0626 27.342 0.419133333333 24.384 0.107933333333 28.081 0.1439 25.679 0.0482 27.417 0.2746 24.542 0.0734 28.542 0.390733333333 25.125 0.0811333333333 27.959 0.094 25.507 0.0316 24.999 0.0786 21.616 0.0165333333333 28.102 0.3334 25.924 0.131866666667 30.118 0.5764 -99.0 -99.0
2929.11 3087.36 204.263665 -29.8539588 58801.0 2.245 26.538 24.293 1.059 0.93342 0.0 33.115 6.4109 26.694 0.2561 -99.0 -99.0 28.138 0.3271 -99.0 -99.0 24.806 0.131866666667 29.331 0.2568 27.133 0.0957 27.804 0.328133333333 25.002 0.0907333333333 29.492 0.611 27.449 0.250133333333 27.862 0.0896 25.815 0.0367 25.717 0.1094 22.517 0.0250666666667 26.617 0.164533333333 24.398 0.0598 25.017 0.0405 22.859 0.0152
873.756 3122.67 204.2900023 -29.8535649 59562.0 2.189 26.269 24.08 1.356 0.59712 0.0 27.811 0.4164 25.835 0.17 26.523 0.1408 24.417 0.0535 27.278 0.406933333333 24.797 0.131333333333 27.419 0.1057 25.258 0.0392 26.593 0.1874 24.631 0.0762666666667 27.142 0.204466666667 24.824 0.0706666666667 26.674 0.0512 24.572 0.0196 25.735 0.110333333333 22.756 0.028 26.184 0.1346 23.916 0.0476 25.969 0.0626 23.542 0.0206
3868.77 3171.88 204.2516243 -29.8530186 60624.0 2.187 25.311 23.124 3.277 0.94072 0.0 24.895 0.1083 22.655 0.0387 24.893 0.0664 22.687 0.0241 25.122 0.150133333333 22.866 0.0532 26.045 0.0561 23.9 0.0209 26.091 0.148733333333 23.514 0.0455333333333 26.219 0.1336 23.767 0.0432666666667 26.032 0.0382 23.83 0.014 25.105 0.0825333333333 21.761 0.0176666666667 25.766 0.111 23.615 0.0414666666667 26.094 0.0672 23.75 0.0238
1602.35 3287.48 204.2806659 -29.8517349 63294.0 2.245 27.17 24.925 0.591 0.92286 0.0 28.947 0.7121 -99.0 -99.0 27.392 0.2108 25.625 0.0955 27.877 0.5394 -99.0 -99.0 28.024 0.1408 25.84 0.0528 27.709 0.316466666667 26.14 0.164466666667 27.578 0.250333333333 25.704 0.107133333333 27.627 0.0822 25.652 0.037 24.745 0.0699333333333 21.277 0.0141333333333 27.631 0.267333333333 25.531 0.107666666667 27.348 0.1236 25.049 0.0475
995.191 3350.33 204.2884458 -29.8510356 64961.0 2.016 26.36 24.344 1.247 0.82901 0.0 26.423 0.2193 24.253 0.0811 25.705 0.0966 23.837 0.0411 24.212 0.0986666666667 22.883 0.0536 27.097 0.0912 25.193 0.0384 26.664 0.193866666667 24.215 0.0630666666667 26.862 0.1798 25.197 0.0844 27.14 0.0638 24.993 0.0243 25.358 0.0927333333333 21.928 0.0191333333333 26.83 0.1818 24.813 0.0729333333333 26.978 0.1011 24.896 0.0409
2859.6 3355.98 204.2645558 -29.8509742 65121.0 2.058 26.465 24.407 1.132 1.5396 0.0 30.046 1.8535 -99.0 -99.0 27.022 0.189 -99.0 -99.0 26.547 0.291466666667 24.592 0.122266666667 27.102 0.0933 25.513 0.051 27.44 0.280866666667 -99.0 -99.0 26.972 0.1896 25.597 0.103266666667 27.003 0.0622 25.382 0.0368 24.864 0.0738666666667 21.339 0.0145333333333 27.059 0.203733333333 27.23 0.3078 27.803 0.1663 -99.0 -99.0
